uid,variant
50730,control
10394,control
66578,test
79988,control
20604,control
83304,control
14851,test
44261,test
91393,control
64665,test
28938,control
71631,control
97174,test
74901,test
34732,test
33400,control
72919,control
31334,test
70384,control
78849,test
46903,test
59779,test
32078,control
44516,control
79281,control
91054,test
82615,control
52421,test
85709,control
42763,test
60200,test
74526,control
43797,test
94253,control
57182,control
60442,control
67331,control
33778,control
47677,test
83079,control
23738,test
73567,test
99388,control
98768,test
52852,control
97116,control
17330,control
12400,test
12422,control
91242,control
56062,test
95457,control
11010,control
25243,test
20382,control
49565,test
38997,control
66279,control
87626,test
73694,test
82709,test
16491,control
73406,test
51184,control
74972,test
10851,test
33721,control
14130,test
58574,test
39873,control
73851,control
46410,control
73142,test
78637,test
83646,test
74622,test
42606,control
81137,control
76129,control
36588,test
67083,test
47646,control
84016,test
86100,control
97278,control
59639,control
88704,control
69268,control
55168,test
34474,control
30251,control
97686,control
29105,test
33277,test
42230,test
34602,test
87046,test
98134,control
49777,test
62867,test
92107,test
88401,test
17017,test
36413,control
78565,test
60612,test
38220,control
63877,control
22867,test
83943,control
79995,test
75738,test
75937,test
38692,control
55370,control
17092,test
82023,control
87352,control
85691,test
94064,control
64991,test
30611,control
26979,control
47660,control
62043,test
39267,test
20220,control
15288,test
80409,control
16383,control
10068,control
49558,test
17110,test
69867,test
94682,test
25791,control
90033,control
26774,test
78756,control
77685,control
93972,control
23664,test
53930,control
45417,test
30349,test
21856,test
84924,control
87229,control
50627,test
12138,test
24245,test
82964,control
67648,test
29840,control
66836,test
67997,test
99162,test
67332,test
84483,test
66599,control
46335,control
63056,control
33910,test
57211,test
29538,test
24248,control
48951,test
80603,test
48292,test
20204,test
38589,test
49086,control
89055,control
51362,control
35987,control
57441,test
78033,test
30030,test
66125,test
41322,test
66458,test
48397,control
57313,test
97884,test
30959,test
87123,control
68072,control
52959,test
44403,test
39625,control
26574,test
77760,control
72676,control
31699,control
80196,test
92220,test
60357,control
37271,control
52913,test
57681,control
54941,test
91134,test
58828,test
88406,test
49354,test
37017,control
47823,control
46456,control
47640,control
43312,control
47186,control
63858,test
39578,test
51640,test
96431,control
93919,test
58264,control
26796,test
51155,control
26848,control
88700,control
45613,control
75460,test
54907,test
70555,test
90564,test
24311,control
79382,test
60120,test
31114,test
41564,control
60785,control
31063,test
36525,control
27803,test
34064,test
89504,test
73677,control
97784,control
93084,test
29031,control
70868,test
47787,control
75132,test
62627,test
99767,control
54550,control
78891,test
30597,control
25793,control
28533,control
12496,control
25842,test
82056,test
79897,control
47172,control
95995,control
45937,test
31032,control
76319,control
83698,control
99419,test
44701,test
54805,control
13038,control
45122,test
42540,control
66665,test
35692,control
43736,test
54985,control
26640,test
72329,control
85302,test
40074,test
92428,control
42617,test
99477,test
99892,test
67167,test
51899,control
30327,control
33527,control
68809,control
91764,control
41656,control
33316,control
98090,test
39322,control
31105,test
16662,control
95822,control
47692,test
49699,test
37876,test
18193,test
71972,control
32673,control
52817,control
53007,test
30488,control
44604,control
60982,control
75424,test
51321,test
12648,test
91572,test
90685,control
38121,test
97734,test
96536,control
12768,control
55402,control
64882,control
21916,control
86411,control
20867,control
44309,test
31139,test
37403,control
50027,control
15621,test
16347,control
13592,test
24944,test
62626,control
66952,control
30873,control
68709,control
96895,test
37676,control
60368,test
86819,test
86374,control
60830,control
56775,control
96681,control
69644,test
38986,test
60137,control
54430,control
70864,control
25662,test
83920,test
22141,test
95073,test
97571,test
14206,test
80887,test
62210,control
93425,test
44348,test
33833,test
87862,control
70536,control
24563,control
41217,test
36002,test
76997,test
26903,test
96269,control
42562,control
99736,control
87447,control
51907,test
61553,control
39525,control
24842,control
83218,control
81618,control
46723,test
60104,control
82315,control
34455,test
63323,control
51247,test
81976,test
68371,control
68045,test
46855,control
27330,control
29895,control
15737,test
35743,test
42683,control
98868,test
30891,test
96228,control
44430,control
34202,test
93810,test
99982,test
54010,test
21163,test
58550,control
85647,test
34790,control
27026,control
84624,test
12283,control
23789,test
63893,control
12385,control
69786,control
65991,test
51684,test
40947,test
66892,test
93647,test
82275,test
10372,test
19989,control
68988,test
52839,test
39221,control
59861,control
21912,test
31806,test
87084,control
29505,test
23086,control
18660,test
23551,control
11701,control
41611,test
69548,control
89271,test
88899,control
99614,control
85335,control
36594,control
28830,control
99647,test
59647,test
12681,test
40612,control
44724,test
18294,control
54224,test
15908,test
78107,test
47977,control
96986,control
80900,test
49533,control
25460,test
42495,test
53435,control
91773,test
43673,test
62318,control
74436,control
58558,test
79257,control
73683,control
18519,test
13923,test
26104,test
32106,control
42843,control
23001,control
80083,control
97942,control
40721,test
51477,test
69555,control
21441,test
85563,control
54950,test
11379,test
58543,control
23156,test
28113,control
59396,control
96505,test
96408,test
52617,test
16812,control
10421,control
69067,test
75492,test
66389,test
67674,test
98075,control
73313,control
12254,control
76692,test
91728,control
15069,control
54778,test
34965,control
78410,control
76825,test
82319,control
39653,control
94441,control
73733,control
11248,control
20045,test
47437,control
12002,test
68986,test
93459,test
54677,control
76193,control
80461,control
62560,test
55817,test
53975,test
27178,control
85595,test
52088,control
34510,control
16796,test
45181,test
68226,control
48125,test
29695,control
29855,test
36436,control
15055,control
22366,test
41637,test
50734,control
85363,test
73529,test
90743,test
15150,test
47762,test
10461,control
45030,test
87725,control
51553,test
18172,control
47423,test
49824,test
82978,control
71438,control
29284,test
45025,control
28488,test
81874,control
40815,test
89981,control
46030,test
13168,test
77390,control
64123,test
21549,test
69691,test
56200,control
79657,test
29593,test
51329,control
82797,test
84211,test
81117,test
95795,control
50216,control
28244,test
74445,test
39921,test
37454,test
50371,test
67235,control
93965,test
46936,test
87914,control
92451,test
90628,control
11815,control
22905,test
33891,test
68787,control
24882,control
35068,test
23356,control
36889,control
58552,test
78738,control
65293,control
53790,control
14687,test
98647,control
19063,control
87274,test
40883,control
15584,control
85293,control
12278,test
90888,control
90260,test
24775,test
61401,test
23571,control
85514,test
80129,test
45278,control
52333,control
47852,test
92454,test
61066,test
46717,test
98911,control
21276,test
56412,test
21233,test
60270,control
95326,control
33248,test
90834,test
23348,control
75915,test
40512,test
50511,control
45139,test
43665,control
43434,control
87595,test
83581,test
65927,control
91257,control
95458,test
55511,test
17383,control
61223,test
96835,test
35790,control
33181,control
40586,test
84918,control
53261,control
47122,control
45158,test
49780,control
53749,control
16522,control
19931,control
99000,test
19667,control
59112,test
32622,test
13360,control
73425,test
73870,test
49342,control
20690,control
10475,control
67161,control
82719,test
22528,control
99543,control
82695,test
24275,test
93209,test
69801,control
70798,test
43469,control
87930,test
14834,test
20893,control
65930,control
64827,control
18116,control
74945,control
70490,test
97071,test
22413,control
42236,control
35303,control
25940,test
28153,control
75671,test
81772,test
45837,test
93739,control
85757,control
54345,test
11605,test
62264,control
89580,control
37493,test
73240,control
31271,test
22981,control
31291,control
62803,control
13810,test
19813,test
26964,test
23361,control
68782,control
67368,control
96875,test
76928,control
33783,control
57311,test
61108,test
11721,control
64198,control
56856,control
45450,control
44674,test
23916,test
48831,control
58703,control
81927,test
69760,test
75866,test
54743,test
21985,control
22016,control
64238,control
61438,control
15458,control
17418,control
69609,control
71963,control
52540,control
53144,control
86086,control
80877,test
56639,test
96416,control
27965,test
40158,test
66993,control
26087,control
51606,test
54284,control
55536,control
70290,control
59154,control
89920,test
31481,control
62885,control
56104,test
94416,test
39633,control
77500,test
42093,control
73303,control
73736,test
58625,control
58211,control
27768,control
84155,control
19163,test
94316,control
11153,test
63531,control
61865,control
38985,control
65644,test
19434,control
75513,control
60873,test
97606,control
95445,control
95000,test
10580,control
24639,control
62340,test
65808,test
88956,test
75411,control
10485,test
27682,control
77331,control
42543,test
23091,test
61193,control
76261,test
88142,test
45706,control
32914,control
27606,test
77862,test
37712,control
22577,control
57374,control
57230,test
79212,test
10547,test
26009,control
28932,test
32233,control
90455,test
93807,control
33832,test
92639,test
48033,control
61076,control
12575,control
88279,control
43428,control
41004,test
26221,test
40452,test
53723,test
81990,control
53545,test
73132,control
79175,test
81514,test
39917,control
70769,control
11448,control
45327,test
46365,control
71679,control
59344,test
81303,test
14046,test
58617,control
95504,test
60568,test
78897,test
83445,test
74679,test
21179,control
50565,test
93156,test
27503,test
82700,test
19663,control
11735,test
24572,control
42470,test
79053,control
79191,control
22179,control
40794,test
62366,control
71309,test
19235,control
43967,control
79093,control
88353,test
33550,test
69927,test
33654,control
39495,test
11348,test
95401,control
62717,control
75936,test
21782,test
63099,test
80412,test
62664,test
74621,control
64616,control
48818,test
27533,control
50273,test
37905,test
23222,control
79601,test
37274,control
52057,test
80865,test
